,Airline,Review,Review_Lemma,Keyword,Sentiment,User Contribution,Recency,joy,sadness,fear,disgust,anger,category,final,Area,Class,From,To
10,Air India,"Their flights are ALWYAS delayed, most of their entertainment systems dont work, legroom is terrible and they are terrible at customer service.","their flight be alwyas delay , most of their entertainment system do nt work , legroom be terrible and they be terrible at customer service .",legroom,-0.994448,1,12-2018,0.000974,0.324812,0.135074,0.399073,0.48929399999999995,ambience,2.53903894199277,International,Economy,Newark,Bengaluru
11,Air India,", IFE didn't work, food was inedible, seat broken, they got me to Delhi in one piece",", IFE do n't work , food be inedible , seat break , they get me to Delhi in one piece",seat break,-0.668166,306,02-2019,0.008369,0.737155,0.11778399999999999,0.111258,0.16539500000000001,ambience,2.51449564117878,Domestic,Economy,Mumbai,New Delhi
12,Air India,I was refused the same as they said those seats got released.,i be refuse the same as they say those seat get release .,seat,-0.784686,163,10-2018,0.016232,0.295781,0.10093099999999999,0.370292,0.44147,ambience,2.5127414438364304,Domestic,Economy,Kolkata,New Delhi
13,Air India,my wife and i booked seats well in advance both ways and both times we were seated apart a complete disaster of an excuse for an airline check in at delhi completely chaotic you would have to get there 5 hours in advance to get through the queues never again .,my wife and i book seat well in advance both way and both time we be seat apart a complete disaster of an excuse for an airline check in at delhi completely chaotic you would have to get there 5 hour in advance to get through the queue never again .,seat,-0.940817,57,01-2019,0.13735799999999998,0.38745300000000005,0.058579,0.428108,0.152596,ambience,2.4923973455112796,International,Economy,Sydney,New Delhi
14,Air India,"The check in staff at Air India said nothing they could do, one of our seats was broken.","the check in staff at Air India say nothing they could do , one of our seat be break .",seat,-0.7893859999999999,3,01-2019,0.011983,0.740514,0.133198,0.094578,0.18343099999999998,ambience,2.4691121888147998,International,Business Class,London,Mumbai
15,Air India,"Three guesses, same problems, seat plug broken and head seat also missing plug end.","three guess , same problem , seat plug break and head seat also miss plug end .",seat plug break,-0.974226,432,01-2019,0.016850999999999998,0.709612,0.329805,0.029497000000000002,0.096361,ambience,2.4689803359637903,International,Economy,New Delhi,London
16,Air India,Seats were decently comfortable and toilets had everything they needed.,seat be decently comfortable and toilet have everything they need .,seat,-0.31294299999999997,1,08-2018,0.042069999999999996,0.173602,0.085869,0.556245,0.154999,ambience,2.43617353815736,International,Economy,New Delhi,Rome
17,Air India,"Even 2 hours before you cant select seat, and even boarding counter person cant edit your middle worse system alloted seats.","even 2 hour before you ca nt select seat , and even board count person ca nt edit your middle bad system allot seat .",seat,-0.9229870000000001,32,04-2018,0.016544,0.6566609999999999,0.14483800000000002,0.251291,0.25645500000000004,ambience,2.42352855319176,Domestic,Economy,Patna,New Delhi
18,Air India,There were no seats and we were left standing and exhausted for the time.,there be no seat and we be leave stand and exhaust for the time .,seat,-0.787995,2,12-2018,0.036829,0.779225,0.16539,0.140251,0.11791199999999999,ambience,2.4090804426427597,Domestic,Economy,Jaipur,Agra
19,Air India,The advertised flat seats are not quite flat and my controls were balky.,the advertise flat seat be not quite flat and my control be balky .,flat seat,-0.9113549999999999,236,02-2019,0.013274000000000001,0.10538299999999999,0.088911,0.183197,0.313542,ambience,2.3969589278894303,International,Business Class,Newark,Mumbai
20,Air India,"Some snippets from the plane - People would stand by their seat for an hour or so every few hours ; couple guys would stand in the pathway , chatting for 30-40 minutes.","some snippet from the plane - People would stand by their seat for an hour or so every few hour ; couple guy would stand in the pathway , chat for 30 - 40 minute .",seat,-0.7230270000000001,1,02-2019,0.147797,0.338465,0.085017,0.38136,0.274968,ambience,2.3767146256279,International,Economy,San Francisco,Chennai
21,Air India,"It was much more difficult to put back without getting out of your seat to monkey it back in.

","it be much more difficult to put back without get out of your seat to monkey it back in . 

",seat,-0.801752,41,11-2018,0.104333,0.6022850000000001,0.16130999999999998,0.11948199999999999,0.167855,ambience,2.34622811910682,International,Business Class,Tel Aviv,New Delhi
22,Air India,"The planes were old and the seats were quite worn and dirty.

","the plane be old and the seat be quite worn and dirty . 

",seat,-0.952883,114,05-2018,0.026427999999999997,0.28210999999999997,0.126677,0.708256,0.055223,ambience,2.34286079717122,International,Economy,London,Goa
23,Air India,They had the best times for departure and arrival however the food on board was not good and the service was poor films were ok and seats were ok,they have the good time for departure and arrival however the food on board be not good and the service be poor film be ok and seat be ok,seat,-0.889475,75,04-2018,0.036371,0.47138599999999997,0.112898,0.463398,0.101482,ambience,2.3182547606305497,International,Economy,London,New Delhi
24,Air India,Taking off was the scariest part as we feel the turbulence.,take off be the scary part as we feel the turbulence .,turbulence,-0.927623,112,06-2018,0.024506,0.12106099999999999,0.9327,0.0239,0.034129,ambience,2.28479145777909,Domestic,Economy,Bengaluru,Kochi (Cochin)
25,Air India,"I did not want to touch anything, My seat was broken as was the arm of the seat.","i do not want to touch anything , my seat be break as be the arm of the seat .",seat,-0.557964,6,03-2019,0.025735,0.43133999999999995,0.12308399999999999,0.127134,0.08832000000000001,ambience,2.27560506066303,International,Business Class,Chicago,New Delhi
26,Air India,Why did the steward lie about the reasons for the change of seats?,why do the steward lie about the reason for the change of seat ?,change of seat,-0.7685649999999999,571,05-2018,0.055121,0.360286,0.05037,0.140897,0.244794,ambience,2.25390531392671,Domestic,Economy,Mangalore,New Delhi
27,Air India,My sister was given a seat with no onboard entertainment for a flight that lasted approximately 8 hours.,my sister be give a seat with no onboard entertainment for a flight that last approximately 8 hour .,seat,-0.8654959999999999,79,05-2018,0.080553,0.493893,0.105653,0.100083,0.311272,ambience,2.19888008463682,International,Economy,New Delhi,London
28,Air India,"One of the least comfortable flights, plane was dated and seats felt quite hard with minimal cushioning.","one of the least comfortable flight , plane be date and seat feel quite hard with minimal cushioning .",seat feel,-0.904673,110,12-2018,0.121527,0.570386,0.182568,0.162079,0.05226,ambience,2.10328828235149,Asia,Economy,Bangkok,Bengaluru
29,Air India,"When I arrived for check in, I was told there was no seat at all for me!","when i arrive for check in , i be tell there be no seat at all for me !",seat,-0.7692140000000001,50,06-2018,0.058127,0.157416,0.04715,0.04009,0.34331,ambience,2.09384063317579,International,Economy,Sydney,New Delhi
30,Air India,"The aircraft that took me from ICN to HKG is filled with and smells of dust and the entertainment on my seat is broken including the USB charger beside it.

","the aircraft that take me from ICN to HKG be fill with and smell of dust and the entertainment on my seat be break include the USB charger beside it . 

",seat,-0.387394,80,03-2018,0.025068,0.40423000000000003,0.067471,0.24111999999999997,0.113219,ambience,2.09091229547696,Asia,Economy,Seoul,Hong Kong
31,Air India,It was a B777 flight and had full lie flat seats in business class.,it be a b777 flight and have full lie flat seat in busines clas .,flat seat,-0.870901,155,03-2018,0.003539,0.14521900000000001,0.056777999999999995,0.22828600000000002,0.48363199999999995,ambience,2.0883292441051,International,Business Class,London,New Delhi
32,Air India,The seat was leaning forward through out the journey and it was awefully bad.,the seat be lean forward through out the journey and it be awefully bad .,seat,-0.852507,24,05-2019,0.048373,0.42243,0.054342999999999995,0.070336,0.042442,ambience,2.07736909014202,Southeast Asia,Economy,Mumbai,Bangkok
33,Air India,"Seats were shaking, not comfortable at all.","seat be shake , not comfortable at all .",seat,-0.776609,39,03-2018,0.07015199999999999,0.257834,0.49510699999999996,0.109391,0.188113,ambience,2.0592187451475503,Asia,Economy,Colombo,New Delhi
34,Air India,Only complaint was the noise as it seemed like the engine was being revved hard,only complaint be the noise as it seem like the engine be be rev hard,noise,-0.8050970000000001,332,04-2018,0.012668,0.508877,0.293443,0.098625,0.41845200000000005,ambience,2.05457624813721,Domestic,Economy,Varanasi,Agra
35,Air India,"To my horror I flew the same route in October this year in the same seat and the system still had not been fixed and the handset was also smashed, once again I complained but there was nothing they could do.","to my horror i fly the same route in October this year in the same seat and the system still have not be fix and the handset be also smash , once again i complain but there be nothing they could do .",seat,-0.921966,7,12-2018,0.081787,0.347997,0.38726900000000003,0.047419,0.080387,ambience,2.02048020179107,International,Economy,London,Mumbai
36,Air India,Today the button to activate the reclining seat was completely missing.,Today the button to activate the reclining seat be completely missing .,seat,-0.9531129999999999,294,04-2018,0.012718,0.874064,0.073412,0.022924,0.125675,ambience,2.01675916104028,Domestic,Economy,New Delhi,Varanasi
37,Air India,The seats seemed to have more legroom than the planes I had recently been flying in America.,the seat seem to have more legroom than the plane i have recently be fly in America .,seat,-0.508872,111,04-2018,0.057159,0.617696,0.129299,0.350926,0.059798000000000004,ambience,2.01476071995084,Asia,Economy,Singapore,New Delhi
38,Air India,"In fact, one other passenger 2 seats to my right reported that his system wasn't even working.
","in fact , one oth passenger 2 seat to my right report that his system be n't even work . 
",seat,-0.8627389999999999,1,06-2019,0.061626,0.710549,0.088386,0.017599,0.019365,ambience,1.99305519941973,International,Economy,New Delhi,Chicago
39,Air India,"Never seen an airline blame their customer first, forces me on a cramped seat where I said that I will not participate in emergency procedures they didn't even tell me about, puts their employees in preferred seats while paid customers get run around.

","never see an airline blame their customer first , force me on a cramped seat where i say that i will not participate in emergency procedure they do n't even tell me about , put their employee in preferred seat while pay customer get run around . 

",cramped seat,-0.9761770000000001,75,07-2019,0.030683999999999996,0.533196,0.224496,0.085651,0.142625,ambience,1.9876538655198002,International,Economy,New Delhi,New York City
40,Air India,I complained to a senior officer also saying I have paid for the seat,i complain to a senior officer also say i have pay for the seat,seat,-0.60235,45,06-2019,0.049546,0.368219,0.069853,0.458441,0.33783,ambience,1.94186231150379,International,Economy,London,New Delhi
41,Air India,and when we return the flight is small and it is terrible noise in flight when landing and take off.,and when we return the flight be small and it be terrible noise in flight when landing and take off .,terrible noise,-0.9651270000000001,1,02-2019,0.004077,0.243525,0.314452,0.157157,0.5704899999999999,ambience,1.92937037072594,Southeast Asia,Economy,New Delhi,Bangkok
42,Air India,"NOTHING worked, broken seats with cracks fixed with tape,","NOTHING work , broken seat with crack fix with tape ,",seat,-0.884783,7,03-2018,0.023998,0.770708,0.038873000000000005,0.170903,0.180847,ambience,1.91883392770113,International,Economy,Chicago,New Delhi
43,Air India,My neighbor had a tough time with his seat not working properly.,my neighbor have a tough time with his seat not work properly .,seat,-0.8572799999999999,94,03-2019,0.034746,0.8272370000000001,0.171759,0.006664,0.077351,ambience,1.9045447494776202,International,Business Class,Washington DC,New Delhi
44,Air India,It made noise as if we were sitting in a boat.,it make noise as if we be sit in a boat .,noise,-0.544326,105,05-2018,0.050595999999999995,0.10428699999999999,0.606838,0.14991500000000002,0.371735,ambience,1.89100734836047,Asia,Economy,New Delhi,Colombo
45,Air India,The staff & then pilot got involved and told me the broken seat was a safety risk,the staff & then pilot get involve and tell me the broken seat be a safety risk,seat,-0.839799,75,07-2019,0.013312000000000001,0.368379,0.142469,0.125109,0.173247,ambience,1.86997226103172,International,Economy,New Delhi,New York City
46,Air India,", i showed the receipt and confirmation email also but they had taken money and issued the seat already to someone else .",", i show the receipt and confirmation email also but they have take money and issue the seat already to someone else .",seat,-0.7116680000000001,45,06-2019,0.028110000000000003,0.46173100000000006,0.054587000000000004,0.410326,0.29404,ambience,1.8589396448371203,International,Economy,London,New Delhi
47,Air India,Also three of the 5 seats we had booked's entertainment systems didn't work.,also three of the 5 seat we have book 's entertainment system do n't work .,seat,-0.587288,10,07-2019,0.170601,0.6054039999999999,0.079437,0.028425,0.028475999999999998,ambience,1.84705050852379,International,Economy,New Delhi,San Francisco
48,Air India,The only good thing about the 787 is that the seats are lie flat with good legroom and width.,the only good thing about the 787 be that the seat be lie flat with good legroom and width .,seat,-0.5071479999999999,19,05-2018,0.30795300000000003,0.083467,0.036823,0.198157,0.47448599999999996,ambience,1.84189419752918,International,Business Class,New Delhi,Milan
49,Air India,Seat is hard and extremely uncomfortable.,Seat be hard and extremely uncomfortable .,Seat,-0.958116,2,01-2019,0.019407,0.749746,0.06994500000000001,0.080968,0.06425499999999999,ambience,1.8124924227975,International,Economy,Chicago,Bengaluru
50,Air India,The seats are low flat,the seat be low flat,seat,-0.829325,256,07-2018,0.0027140000000000003,0.193157,0.08656599999999999,0.502463,0.290637,ambience,1.7822599029852302,Asia,Business Class,Hong Kong,New Delhi
51,Air India,"Seat 19J entertainment system was not working , seat 19K right hand handle was ripped and seat reclining was not working , we raised this issue with air hostess , she said she will look in to it","Seat 19j entertainment system be not work , seat 19 K right hand handle be rip and seat reclining be not work , we raise this issue with air hostes , she say she will look in to it",seat,-0.8830629999999999,12,11-2018,0.07236000000000001,0.80162,0.065756,0.034522000000000004,0.049434,ambience,1.76461505182085,International,Economy,New Delhi,San Francisco
52,Air India,But even with 3 seats to myself it was awful.,but even with 3 seat to myself it be awful .,seat,-0.9556610000000001,33,09-2018,0.005683,0.6018789999999999,0.129693,0.388065,0.220874,ambience,1.76149488277825,International,Economy,London,Newark
53,Air India,The problem in this aircraft is that to accommodate more passenger seats the leg room has been squeezes.,the problem in this aircraft be that to accommodate more passenger seat the leg room have be squeeze .,passenger seat,-0.682124,13,07-2018,0.108431,0.5068010000000001,0.176655,0.174754,0.054903,ambience,1.74755479912704,Domestic,Economy,New Delhi,Chennai
54,Air India,"After much protestation they told us, nothing they could do and to sort it out with the passenger on board and see if he would move seats.","after much protestation they tell us , nothing they could do and to sort it out with the passenger on board and see if he would move seat .",seat,-0.7000350000000001,3,01-2019,0.202044,0.355979,0.070894,0.172254,0.045873000000000004,ambience,1.7438603433500799,International,Business Class,London,Mumbai
55,Air India,"IF THEY DROP DOWN ON THE SIDE OF SEAT,IT IS A MAJOR PROBLEM

","if they DROP down on the SIDE of SEAT , it be a MAJOR PROBLEM 

",SIDE of SEAT,-0.9156989999999999,104,05-2018,0.033927,0.435623,0.040736,0.173546,0.107144,ambience,1.741460270578,International,Business Class,Birmingham,New Delhi
56,Air India,Your legs don't hit the seat in front.,your leg do n't hit the seat in front .,seat,-0.591716,94,04-2018,0.047361,0.192386,0.024011,0.15375,0.06611399999999999,ambience,1.73849521914978,International,Economy,Amritsar,London
57,Air India,They said the flight is over sold-the seat kept falling & bothering the person behind me so they found me crappy tight seat in the emergency exit row in the back.,they say the flight be over sell - the seat keep fall & bother the person behind me so they find me crappy tight seat in the emergency exit row in the back .,crappy tight seat,-0.925143,75,07-2019,0.014868000000000001,0.48221,0.288439,0.098896,0.394839,ambience,1.7371894259062701,International,Economy,New Delhi,New York City
58,Air India,"The aircraft was in dire need of repairs, torn seats, non-functioning audio/video system, and smelly restrooms.","the aircraft be in dire need of repair , tear seat , non - functioning audio / video system , and smelly restroom .",tear seat,-0.777945,1,02-2019,0.012911,0.7779550000000001,0.034283999999999995,0.084743,0.117005,ambience,1.73667295043608,International,Economy,Washington DC,Lucknow
59,Air India,"Worst airline you can fly, when i flew in to India from vancouver and needed a connection flight Air india hosts took my economy seats and two luggages a piece.","bad airline you can fly , when i fly in to India from vancouver and need a connection flight Air india host take my economy seat and two luggage a piece .",economy seat,-0.933408,2,04-2019,0.165195,0.352068,0.164628,0.16537000000000002,0.145656,ambience,1.7362002307726898,Domestic,Business Class,Amritsar,New Delhi
60,Air India,Let my partner and 20 month old son have 3 seats moved to a seat which had no person seating in it but was later told to move so crew could sit in it.,Let my partner and 20 month old son have 3 seat move to a seat which have no person seat in it but be later tell to move so crew could sit in it .,seat,-0.8447629999999999,2,04-2019,0.197225,0.387396,0.054276,0.08552799999999999,0.117086,ambience,1.7328776153880803,Asia,Economy,Hong Kong,New Delhi
61,Air India,"Air India do not let you choose your seat on an ordinary website ,you have to dig and get into it which is absurd
","Air India do not let you choose your seat on an ordinary website , you have to dig and get into it which be absurd 
",seat,-0.755939,46,03-2018,0.170074,0.139085,0.0401,0.059819000000000004,0.052703,ambience,1.7312859122158302,International,Business Class,Birmingham,Amritsar
62,Air India,Food served was below par and must be addressed as it discomforts passengers on non stop long flights of 16 hours.,Food serve be below par and must be address as it discomfort passenger on non stop long flight of 16 hour .,discomfort passenger,-0.8156979999999999,82,04-2018,0.033976,0.28433600000000003,0.20111400000000001,0.34566399999999997,0.127798,ambience,1.7281587890644101,International,Economy,San Francisco,New Delhi
63,Air India,Our seats did not recline,our seat do not recline,seat,-0.724877,16,09-2018,0.174219,0.151545,0.093654,0.07294500000000001,0.08686,ambience,1.7212369640521699,International,Economy,Newark,London
64,Air India,"I had 5 hours flight without TV, With poor legroom.","i have 5 hour flight without TV , with poor legroom .",poor legroom,-0.967835,22,12-2018,0.002202,0.636048,0.43549799999999994,0.16263699999999998,0.09202,ambience,1.72112932845363,Southeast Asia,Economy,Ahmedabad,Singapore
65,Air India,Seats on a cheap bus are better than Air India seats.,seat on a cheap bu be well than Air India seat .,seat,-0.85649,2,01-2019,0.17164000000000001,0.195747,0.028676,0.139459,0.031072000000000002,ambience,1.68070664018881,International,Economy,Chicago,Bengaluru
66,Air India,The entertainment system was difficult to extract from its stowage between the seats.,the entertainment system be difficult to extract from its stowage between the seat .,seat,-0.659208,41,11-2018,0.092204,0.5274989999999999,0.079201,0.069816,0.069004,ambience,1.6800302051283202,International,Business Class,Tel Aviv,New Delhi
67,Air India,Also i was getting annoyed with the man in front of me who kept pushing his seat backwards.,also i be get annoyed with the man in front of me who keep push his seat backwards .,seat,-0.907518,7,12-2018,0.059639,0.31183,0.05619,0.19331199999999998,0.605911,ambience,1.6756700965279099,International,Economy,London,Kolkata
68,Air India,Controls of those seats are broken and cannot move things properly.,control of those seat be break and can not move thing properly .,control of those seat,-0.7953899999999999,3,10-2018,0.020927,0.601817,0.177567,0.12523199999999998,0.12492400000000001,ambience,1.66854122472808,International,Business Class,San Francisco,New Delhi
69,Air India,"During the initial booking, I had blocked seats for the family, so we are all seated together.","during the initial booking , i have block seat for the family , so we be all seat together .",seat,-0.5271140000000001,185,04-2018,0.22763200000000003,0.527051,0.019116,0.166572,0.088059,ambience,1.66697082420021,International,Economy,New Delhi,Dubai
70,Air India,but they refuse seats size and space was bigger then jet flight because it's 777 boing aircraft and old one with different type of seats food was,but they refuse seat size and space be big then jet flight because it ' 777 boing aircraft and old one with different type of seat food be,seat size,-0.867807,1384,09-2018,0.009052,0.259502,0.05609600000000001,0.447804,0.21711599999999998,ambience,1.6529447228698602,Domestic,Business Class,Mumbai,New Delhi
71,Air India,Worst seats on a plane I have ever experienced.,bad seat on a plane i have ever experience .,bad seat,-0.91259,16,05-2019,0.021439,0.513656,0.170914,0.298483,0.231014,ambience,1.6499193222883501,International,Economy,London,New Delhi
72,Air India,There were some confusions on the flight home with our family four not being seated together.,there be some confusion on the flight home with our family four not be seat together .,seat,-0.81089,20,07-2018,0.177272,0.33776,0.019076,0.12460299999999999,0.052677,ambience,1.6407270290798,International,Economy,Melbourne,New Delhi
73,Air India,"After 4 uncomfortable hours I saw many staff people were in comfortable seats,which was not offered to me as a paying customer.","after 4 uncomfortable hour i see many staff people be in comfortable seat , which be not offer to me as a pay customer .",comfortable seat,-0.848769,75,07-2019,0.09717,0.30451500000000004,0.027870999999999996,0.278729,0.091097,ambience,1.63356750527135,International,Economy,New Delhi,New York City
74,Air India,Worst airline.. uncomfortable seats.. do not recline completely..,bad airline .. uncomfortable seat .. do not recline completely ..,uncomfortable seat,-0.9370879999999999,2,04-2018,0.001807,0.630778,0.24234099999999997,0.221175,0.268317,ambience,1.63214359798293,International,Business Class,New York City,New Delhi
75,Air India,"But to my agony, the seat offered to me, had a broken seat and nonetheless they bothered to change it for me, in a half empty flight.","but to my agony , the seat offer to me , have a broken seat and nonetheless they bother to change it for me , in a half empty flight .",seat,-0.9059229999999999,4,08-2018,0.015191,0.5132260000000001,0.061575,0.094718,0.41616000000000003,ambience,1.63057860827752,Domestic,Economy,Mumbai,New Delhi
76,Air India,Imagine sitting on a 6 and a half hours flight with poorly reclining seats.,Imagine sit on a 6 and a half hour flight with poorly recline seat .,seat,-0.974094,3,10-2018,0.008193,0.7199800000000001,0.138205,0.263198,0.176787,ambience,1.6304461271671102,International,Economy,Vienna,New Delhi
77,Air India,"Because the planes are so old, there was no padding left on my seat","because the plane be so old , there be no padding left on my seat",seat,-0.8804129999999999,37,04-2018,0.070726,0.19831700000000002,0.013165000000000001,0.092946,0.051807000000000006,ambience,1.6273450204740398,International,Economy,New York City,New Delhi
78,Air India,The flight was comfortable but the seats and equipment was pathetic.,the flight be comfortable but the seat and equipment be pathetic .,seat,-0.853369,475,05-2018,0.013277,0.564311,0.006281,0.465538,0.155969,ambience,1.62706976006005,North Asia,Economy,Mumbai,Shanghai
79,Air India,after this nightmare i got a bad seat for both flights and the woman on the check in,after this nightmare i get a bad seat for both flight and the woman on the check in,bad seat,-0.954031,131,04-2018,0.003237,0.477707,0.334183,0.323283,0.188935,ambience,1.6261965629566597,Domestic,Economy,Goa,Mumbai
80,Air India,Our seats were pre booked and they gave them to someone else meaning we had to sit in a row of seats that had been left un ocupied because one seat was broken.,our seat be pre book and they give them to someone else mean we have to sit in a row of seat that have be leave un ocupie because one seat be break .,seat,-0.457259,74,02-2019,0.019073,0.642731,0.090169,0.306904,0.204423,ambience,1.61382240516844,International,Economy,London,Goa
81,Air India,"Legroom is average and may be a problem for a people above five five to seat in a non aisle seat.
","Legroom be average and may be a problem for a people above five five to seat in a non aisle seat . 
",Legroom,-0.632641,19,06-2018,0.024276,0.256907,0.19275699999999998,0.026347000000000002,0.166597,ambience,1.5755177067675599,International,Economy,New York City,New Delhi
82,Air India,"It is an very old A319, 8 seat in business class.","it be an very old A319 , 8 seat in busines clas .",seat,-0.598684,1179,02-2019,0.070726,0.19831700000000002,0.013165000000000001,0.092946,0.051807000000000006,ambience,1.57524749273411,Asia,Business Class,Kathmandu,Kolkata
83,Air India,Old aircraft with worn and uncomfortable seats and nothing much to write about on board.,Old aircraft with worn and uncomfortable seat and nothing much to write about on board .,uncomfortable seat,-0.89345,109,03-2019,0.320709,0.147291,0.110052,0.150854,0.14203,ambience,1.57204845353576,Domestic,Economy,Chennai,Coimbatore
84,Air India,"Looks like its run by a bunch of bribe-accepting morons who want to just loot and trouble passengers and give them their life's worst flying experience.
","look like its run by a bunch of bribe - accept moron who want to just loot and trouble passenger and give them their life 's bad flying experience . 
",trouble passenger,-0.9036780000000001,1,05-2018,0.016506,0.6610699999999999,0.12458,0.23606,0.262216,ambience,1.56742943139689,International,Economy,Pune,San Francisco
85,Air India,In-flight entertainment system did not work in my seat.,in - flight entertainment system do not work in my seat .,seat,-0.879808,287,12-2018,0.033591,0.609109,0.090537,0.035892,0.031939999999999996,ambience,1.56607411370648,International,Economy,New Delhi,Tel Aviv
86,Air India,The plane was old and there was this constant noise i keep hearing at the emergency door on the 2nd Emergency door on the left during take off and Landing.,the plane be old and there be this constant noise i keep hear at the emergency door on the 2nd Emergency door on the left during take off and Landing .,constant noise,-0.7547560000000001,2,06-2018,0.026155,0.140471,0.6262449999999999,0.116606,0.403373,ambience,1.5634827069806998,International,Economy,Dubai,Chennai
87,Air India,"four, even elderly and all were scattered at B & E, and even at check in counter, he said, his power to edit has been removed and all seats are paid","four , even elderly and all be scatter at B & E , and even at check in counter , he say , his power to edit have be remove and all seat be pay",seat,-0.426915,32,04-2018,0.08194800000000001,0.20747100000000002,0.136811,0.250055,0.17590899999999998,ambience,1.5307779774341799,Domestic,Economy,Patna,New Delhi
88,Air India,Very bad customer service trying to book & pay seats!,very bad customer service try to book & pay seat !,seat,-0.9704440000000001,69,12-2018,0.018428,0.419033,0.044819,0.16800199999999998,0.45081099999999996,ambience,1.5279435415458797,International,Economy,Birmingham,New Delhi
89,Air India,"Except for seat comfort in their Dreamliner Jet, all other parameters pathetic.","except for seat comfort in their Dreamliner Jet , all oth parameter pathetic .",seat comfort,-0.8644799999999999,15,07-2019,0.217292,0.325517,0.215454,0.013009,0.21175100000000002,ambience,1.51842041303551,International,Economy,Vienna,New Delhi
90,Air India,"Suddenly we we told are seats were 20 rows back.
","suddenly we we tell be seat be 20 row back . 
",seat,-0.48353100000000004,40,02-2019,0.024431,0.36544299999999996,0.385981,0.13960799999999998,0.302766,ambience,1.5163115306792398,International,Economy,Mumbai,Newark
91,Air India,But a 13 year old aircraft with extremely dated or torn seats and entertainment systems that did not work throughout flight was really disappointing.,but a 13 year old aircraft with extremely date or tear seat and entertainment system that do not work throughout flight be really disappointing .,tear seat,-0.9830780000000001,114,06-2018,0.015335,0.8665370000000001,0.047579,0.183755,0.072203,ambience,1.5135639581716298,International,Economy,San Francisco,New Delhi
92,Air India,But by the time we finished our food the turbulence started and it continued till the time of landing at Indore Airport.,but by the time we finish our food the turbulence start and it continue till the time of landing at Indore Airport .,turbulence start,-0.424339,64,05-2018,0.333382,0.517354,0.083114,0.045692,0.12536,ambience,1.50906722824452,Domestic,Economy,New Delhi,Indore
